序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
1,N1011,產業碩士班,機器導航與探索,,自由選修,,否,3,周咏蒨,,,10,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週一晚上6:30~9:20上課地點：工學院EB211課程要求：學生須自備具GPU顯卡之電腦。本課程期末專題採分組開發，為避免影響同組修課同學之權益，本課程不接受期中退選，請謹慎評估可投入的時間再選課。主授教師:胡敏君(清華大學),Robotic Navigation and Exploration,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=0001217
2,N1010,產業碩士班,生成式AI的人文導論,,自由選修,,否,3,校際教師,,,50,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週五 10:20-13:10主授教師：謝舒凱 (臺灣大學),Introducing Generative AI for Humanities,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=P000011
3,N1009,產業學士班,人工智慧倫理,,自由選修,,否,3,胡其瑞,教學大樓,(二) 07-09 T202,50,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週二 15:20~18:10上課地點：T202主授教師：甘偵蓉(東海大學),AI Ethics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=0001165
4,N1008,產業碩士班,深度學習,,自由選修,,是,3,校際教師,,,20,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)課程要求：限大四以上學生修讀，並須自備具至少6GB 的 GPU電腦。上課時間：每週四12:20-15:10同步考試時間6/4 12:20-15:10(電五教室)課程要求：學生須自備具GPU顯卡之電腦。主授教師：彭文孝、陳永昇,Deep Learning,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=P000011
5,N1007,產業學士班,機率與統計,,自由選修,,否,3,校際教師,,,20,0,0,可跨班系,AI學程聯盟學分學程選課前請詳閱課程資訊上課時間(暫定)：2/26(當日為20:00-22:00)、其餘3/12、3/26、4/9、4/30、5/14、6/4為20:00-21:00同步考試時間：4/16 14:30-17:30；6/11 14:30-17:30 (電五教室)主授教師：葉丙成(臺灣大學),Probability and Statistics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=P000011
6,N1006,產業碩士班,生成式AI應用系統與工程,,自由選修,,否,3,校際教師,,,50,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊上課時間：每週三 14:00-17:00主授教師：莊坤達(成功大學),Generative AI Application Systems and Engineering,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=P000011
7,N1005,產業碩士班,大型語言模型與資訊安全系統,,自由選修,,是,3,校際教師,,,20,0,0,可跨班系,AI學程聯盟學分學程選課前請詳閱課程資訊上課時間：每週一9:20~12:20，第一小時為線上課程自修；10:20~12:20為直播演練。學生可非同步上課，先自行完成一小時線上自修，其餘兩小時則於助教固定時段參與線上練習，此練習為必修環節，所有學生皆須參與。主授教師：林俊叡(台灣科技大學),Applying Large Language Models in Cybersecurity Systems,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=P000011
8,N1004,產業碩士班,智慧製造執行系統,,自由選修,,否,3,校際教師,,,20,0,0,可跨班系,AI學程聯盟學分學程選課前請點我詳閱課程資訊(含遠距上課連結)上課時間：每週一 14:10-17:00實體期中、末評量時間:4/20、6/22 14:10-17:00 (電五教室)主授教師：陳裕民(成功大學),Intelligent Manufacturing Execution Systems,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=P000011
9,N1003,產業學士班,半導體產業實務,,產業必修,,否,3,林祐仲,白沙大樓,(五) 02-04 合班教室1,50,0,0,限本班,產業學院育才專班-矽品公司,Semiconductor Industry Practice,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1142/N1003_0OTIN0100930.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=0000831
10,N1002,產業碩士班,半導體產業實務,,產業必修,,否,3,林祐仲,教學大樓,(五) 02-04 T302,20,0,0,限本班,產業學院育才專班-矽品公司,Semiconductor Industry Practice,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1142/N1002_0OTIN2101030.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=0000831
11,MM403,語文課,中級時事華語(二),,語文選修,,否,3,黃柔溱,語文中心,(四) 02-04 LC202,50,0,0,可跨班系,,Intermediate Current Affairs in Chinese II,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=9901052
12,MM402,語文課,初級閱讀與寫作(二),,語文選修,,否,3,劉培伃,語文中心,(四) 06-08 LC202,50,0,0,可跨班系,,Elementary Chinese Reading and Writing II,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=9901185
13,MM401,語文課,基礎中文讀寫(二),,語文選修,,否,3,黃柔溱,語文中心,(三) 02-04 LC202,50,0,0,可跨班系,,Basic Chinese reading and writing II,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=114&yms_sms=2&emp_id=9901052
